Energy (meV),Original DOS (normalized),Broadened DOS (normalized)
31.3,0.0,0.0032782800573328257
31.4,0.0,0.003303920325093331
31.5,0.0,0.003330686037753638
31.6,0.0,0.0033583894242303295
31.7,0.033080759376051504,0.0033868145884030816
31.8,0.0,0.003415725281428376
31.9,0.0,0.0034448730681900805
32.0,0.0,0.003474005607510382
32.1,0.0,0.0035028747769252247
32.2,0.0,0.0035312443922615503
32.3,0.0,0.003558897298572124
32.4,0.0,0.0035856416407256194
32.5,0.0,0.003611316157629226
32.6,0.0,0.003635794382230947
32.7,0.0,0.003658987668742012
32.8,0.054430601777617986,0.0036808470076836216
32.9,0.0,0.0037013636272751615
33.0,0.0,0.003720568415364673
33.1,0.0,0.0037385302287238267
33.2,0.0,0.0037553531854013843
33.3,0.0,0.0037711730604061727
33.4,0.0,0.00378615292486732
33.5,0.0,0.003800478183726995
33.6,0.0,0.0038143511768236643
33.7,0.0,0.003827985512918211
33.8,0.0,0.0038416003059247392
33.9,0.0,0.0038554144775795247
34.0,0.03632012990607842,0.0038696412813769353
34.1,0.0,0.003884483189288206
34.2,0.0,0.0039001272661147854
34.3,0.0,0.003916741136945665
34.4,0.0,0.003934469631772552
34.5,0.0,0.0039534321685853165
34.6,0.0,0.003973720912947363
34.7,0.0,0.003995399728844379
34.8,0.0,0.004018503913179954
34.9,0.0,0.004043040685267285
35.0,0.0,0.004068990383569823
35.1,0.0,0.0040963083052175005
35.2,0.04024962989089337,0.004124927109809887
35.3,0.0,0.00415475969795031
35.4,0.0,0.004185702466966425
35.5,0.0,0.004217638841392337
35.6,0.0,0.004250442973950035
35.7,0.0,0.004283983513823723
35.8,0.0,0.004318127342748066
35.9,0.0,0.0043527431855494595
36.0,0.0,0.004387705009962944
36.1,0.0,0.004422895140440579
36.2,0.0,0.004458207021896185
36.3,0.0,0.004493547581518189
36.4,0.06338035265729512,0.004528839149553622
36.5,0.0,0.004564020912963913
36.6,0.0,0.004599049888741372
36.7,0.0,0.004633901416145796
36.8,0.0,0.004668569178899214
36.9,0.0,0.004703064779223902
37.0,0.0,0.004737416895323209
37.1,0.0,0.004771670062324656
37.2,0.0,0.004805883123707009
37.3,0.0,0.004840127405734037
37.4,0.0,0.004874484671371998
37.5,0.04812862728884267,0.004909044912566621
37.6,0.0,0.004943904040625564
37.7,0.0,0.004979161533853008
37.8,0.0,0.0050149180996049165
37.9,0.0,0.005051273404693534
38.0,0.0,0.005088323923709476
38.1,0.0,0.0051261609495111314
38.2,0.0,0.005164868804030507
38.3,0.0,0.00520452328085133
38.4,0.0,0.005245190343923063
38.5,0.0,0.005286925099479629
38.6,0.0,0.005329771050926093
38.7,0.050060711337000637,0.005373759639323626
38.8,0.0,0.005418910065312701
38.9,0.0,0.005465229382020172
39.0,0.0,0.0055127128428287065
39.1,0.0,0.005561344482956458
39.2,0.0,0.005611097909682364
39.3,0.0,0.005661937272815161
39.4,0.0,0.005713818384669787
39.5,0.0,0.00576668995738606
39.6,0.0,0.005820494924878489
39.7,0.0,0.0058751718169960864
39.8,0.0,0.005930656154531591
39.9,0.07880529422016412,0.005986881835466736
40.0,0.0,0.006043782485177284
40.1,0.0,0.006101292746142462
40.2,0.0,0.006159349485895958
40.3,0.0,0.006217892905405753
40.4,0.0,0.006276867533666112
40.5,0.0,0.006336223097919465
40.6,0.0,0.006395915262500441
40.7,0.0,0.006455906232719396
40.8,0.0,0.0065161652234028465
40.9,0.0,0.006576668794619761
41.0,0.0,0.006637401059697644
41.1,0.06394163743946334,0.0066983537728359435
41.2,0.0,0.0067595263054375946
41.3,0.0,0.006820925521694477
41.4,0.0,0.006882565564986718
41.5,0.0,0.006944467567304039
41.6,0.0,0.0070066592941967305
41.7,0.0,0.007069174737746767
41.8,0.0,0.007132053669754726
41.9,0.0,0.007195341166808366
42.0,0.0,0.007259087118176717
42.1,0.0,0.0073233457266052675
42.2,0.09083261875158553,0.007388175011113766
42.3,0.0,0.007453636319861176
42.4,0.0,0.007519793860076389
42.5,0.0,0.007586714250991925
42.6,0.0,0.007654466104687991
42.7,0.0,0.007723119638776989
42.8,0.0,0.007792746323951056
42.9,0.0,0.00786341856858865
43.0,0.0,0.007935209441876648
43.1,0.0,0.008008192436254991
43.2,0.0,0.008082441269428774
43.3,0.0,0.008158029725714734
43.4,0.07637621118747556,0.008235031536086719
43.5,0.0,0.008313520295950545
43.6,0.0,0.008393569419402445
43.7,0.0,0.008475252128496978
43.8,0.0,0.008558641475860395
43.9,0.0,0.008643810398824621
44.0,0.0,0.008730831803117605
44.1,0.0,0.008819778674020605
44.2,0.0,0.008910724212787229
44.3,0.0,0.00900374199600919
44.4,0.0,0.009098906155507422
44.5,0.0,0.00919629157622405
44.6,0.11274735148101062,0.009295974109491647
44.7,0.0,0.00939803079896269
44.8,0.0,0.009502540116396724
44.9,0.0,0.009609582204429371
45.0,0.0,0.009719239123388252
45.1,0.0,0.009831595099180813
45.2,0.0,0.009946736769260136
45.3,0.0,0.010064753423680706
45.4,0.0,0.0101857372382885
45.5,0.0,0.010309783497150062
45.6,0.0,0.010436990801414518
45.7,0.0,0.010567461261919988
45.8,0.09117526276326249,0.010701300673000453
45.9,0.0,0.01083861866511954
46.0,0.0,0.010979528834150078
46.1,0.0,0.011124148845330637
46.2,0.0,0.011272600510157408
46.3,0.0,0.01142500983470844
46.4,0.0,0.011581507038142617
46.5,0.0,0.011742226540362872
46.6,0.0,0.011907306918078507
46.7,0.0,0.012076890828739263
46.8,0.0,0.012251124902041383
46.9,0.13662924582898048,0.01243015959891862
47.0,0.0,0.0126141490381261
47.1,0.0,0.0128032507906996
47.2,0.0,0.012997625642724624
47.3,0.0,0.013197437326976948
47.4,0.0,0.013402852224099067
47.5,0.0,0.013614039034052863
47.6,0.0,0.01383116841864027
47.7,0.0,0.014054412615908864
47.8,0.0,0.014283945027261458
47.9,0.0,0.014519939778067833
48.0,0.0,0.014762571252535226
48.1,0.13446392295952053,0.015012013603535048
48.2,0.0,0.01526844023800738
48.3,0.0,0.015532023278476748
48.4,0.0,0.015802933001114673
48.5,0.0,0.01608133725067953
48.6,0.0,0.016367400832557315
48.7,0.0,0.016661284882018883
48.8,0.0,0.016963146210707127
48.9,0.0,0.017273136630272412
49.0,0.0,0.0175914022529911
49.1,0.0,0.01791808276913549
49.2,0.0,0.018253310700814113
49.3,0.1598512870818091,0.018597210631977307
49.4,0.0,0.018949898414283583
49.5,0.0,0.01931148034855361
49.6,0.0,0.019682052341603255
49.7,0.0,0.020061699038346172
49.8,0.0,0.02045049292919476
49.9,0.0,0.02084849343296601
50.0,0.0,0.021255745955717793
50.1,0.0,0.021672280926203425
50.2,0.0,0.02209811280893619
50.3,0.0,0.022533239096202036
50.4,0.0,0.022977639280747118
50.5,0.20475178749296982,0.023431273811292876
50.6,0.0,0.0238940830334967
50.7,0.0,0.02436598611947221
50.8,0.0,0.024846879989510722
50.9,0.0,0.02533663823019619
51.0,0.0,0.025835110013674976
51.1,0.0,0.02634211902342542
51.2,0.0,0.02685746239245788
51.3,0.0,0.027380909660462832
51.4,0.0,0.027912201756998906
51.5,0.0,0.02845105001836978
51.6,0.2495788298198975,0.02899713524636843
51.7,0.0,0.029550106817559815
51.8,0.0,0.03010958185222117
51.9,0.0,0.030675144452453142
52.0,0.0,0.03124634501930466
52.1,0.0,0.03182269965901488
52.2,0.0,0.032403689688654654
52.3,0.0,0.03298876125154261
52.4,0.0,0.03357732505281084
52.5,0.0,0.03416875622539258
52.6,0.0,0.03476239433650113
52.7,0.0,0.03535754354435174
52.8,0.31839676453884486,0.03595347291445241
52.9,0.0,0.03654941690424886
53.0,0.0,0.037144576024250864
53.1,0.0,0.037738117683
53.2,0.0,0.03832917722235306
53.3,0.0,0.03891685914856632
53.4,0.0,0.03950023856356816
53.5,0.0,0.040078362799612174
53.6,0.0,0.040650253259217936
53.7,0.0,0.04121490746093499
53.8,0.0,0.041771301290022766
53.9,0.0,0.042318391451633436
54.0,0.4470793873133864,0.04285511812252593
54.1,0.0,0.04338040779574511
54.2,0.0,0.04389317631107818
54.3,0.0,0.04439233206246985
54.4,0.0,0.04487677937195068
54.5,0.0,0.045345422018025196
54.6,0.0,0.04579716690489459
54.7,0.0,0.04623092785736657
54.8,0.0,0.046645629524849505
54.9,0.0,0.04704021137645476
55.0,0.0,0.04741363176795358
55.1,0.0,0.04776487206016979
55.2,0.4014746984764849,0.048092940767348456
55.3,0.0,0.04839687771313836
55.4,0.0,0.048675758171073065
55.5,0.0,0.04892869696584266
55.6,0.0,0.04915485251122716
55.7,0.0,0.04935343076031638
55.8,0.0,0.04952368904358272
55.9,0.0,0.04966493977050093
56.0,0.0,0.049776553970731004
56.1,0.0,0.049857964651395095
56.2,0.0,0.04990866994768565
56.3,0.6208854167243328,0.049928236044941204
56.4,0.0,0.04991629985140911
56.5,0.0,0.049872571402178496
56.6,0.0,0.049796835976202554
56.7,0.0,0.049688955909926696
56.8,0.0,0.04954887209278666
56.9,0.0,0.04937660513172808
57.0,0.0,0.049172256173906234
57.1,0.0,0.04893600737884197
57.2,0.0,0.04866812203351545
57.3,0.0,0.0483689443061577
57.4,0.0,0.04803889863683178
57.5,2.342333988501072,0.0476784887652604
57.6,0.0,0.04728829639873507
57.7,0.0,0.046868979525314686
57.8,0.0,0.04642127037986584
57.9,0.0,0.045945973072795375
58.0,0.0,0.04544396089355713
58.1,0.0,0.04491617330315882
58.2,0.0,0.04436361263193718
